chapter	old	new	src
35	D!)צוֹם.—The	D!)צום.—The	hand
35	נֵכִים	נכים	hand
35	רַגְלַיִם	נכה	hand
36	(")*23rT	(")הגבר	crop2
36	(yt£>l7)	(לרשע)	crop2
36	*(^^B))*	*(פשע))*	crop2
36	*(דָּוִד* נְאֻם) and	*(דָּוִד* נאם) and	hand
36	*(יְהוָֹה**	*(יהוה**	hand
36	Di^i),*	*נאם),*	crop2
36	D^?2	נאם	crop2
36	depra\ity,	depravity,	hand
37	*\verb	*verb	crop2
37	D''l3	כרים	crop2
38	W^^n*	חיים*	crop2
39	(^li^lD)	(תושב)	crop2
40	*יִרְאוּ)יִרְאוּ*	*יִרְאוּ)יראו*	hand
40	וְיִירָאוּ).	וייראו).	hand
41	(y^p")	(יקבץ")	crop2
42	((אֵל);)	((אל);)	hand
42	*27ie	*The	crop2
44	fi-auduleutiy,	fraudulently,	crop2
45	^y*	ix.*	crop2
45	a.wife	a wife	hand
46	u^.*	us.*	crop2
47	(■IIDT);	(זמרו);	crop2
48	(mizmor)	(mizmôr)*	crop2-dictgate-manual
49	*/or	*for	crop2
49	*iopraise*	*to *praise**	crop2
49	*re/rain*	*refrain*	crop2
49	a^	as	crop2
49	dv/elling,	dwelling,	crop2
49	iinus	Sons	crop2
49	whofolloio	who follow	crop2
49	xxx\di.	xxxvii.	hand
50	(נָא)	(נא)	hand
55	*07ie	*one	crop2
55	*riytfiw.*	*ἡγεμών*	crop2
55	fear-	fear	crop2
55	hnithemselves.	but themselves.	crop2-dictgate-manual
56	("Tj	(נד	hand
56	(iXi).	(נאד).	crop2
56	Mai.	Mal.	crop2
56	^)M«	^)put	crop2
56	lij),	נוד),	crop2
56	translated/c/Z/t/j^	translated *falling*	crop2
59	עֻזּוֹ),	עזו),	hand
60	defence^	defence,	crop2
61	נְגִינַת)	נגינת)	hand
63	*marrow^	*marrow	crop2
63	ar?fZ	and	crop2
65	*near^	*near,	crop2
66	(צוּד,	(צוד,	hand
68	(יָקוּם),	(יקום),	hand
68	en\7	envy	crop2
68	j^erhh	perish	crop2
69	(D?l£^),	(שלם),	crop2
69	describcs	describes	hand
72	(>n^)	(יהי)	crop2
72	(ienominatio.*	(denominatio.*	crop2-dictgate-manual
72	heplentij	be plenty	crop2
72	y?0M?•^s^	flourish	crop2
73	("1^X?2)	("בעיר)	crop2
73	(T^S	(בעיר	crop2
73	*6f*	*6,*	crop2
73	*Said^	*Said,	crop2
73	*toujnurs.*	*toujours.*	crop2-dictgate-manual
73	1\*ITT3),	1\*בהעיר),	crop2
80	*salvation	*for salvation	hand
80	^%/ace	thy face	crop2
80	literally/or	literally	hand
84	(IT^iD)	(מורה)	crop2
84	(PX)	(את)	crop2
84	(mi^).	(יורה).	crop2
84	*the/cms	*the *fons*	crop2
85	(\*nS)	(אך)	hand
86	ah-eady	already	crop2
87	^br/ree,	for free,	crop2
88	theeimiplies*	thee implies*	crop2
89	(D^2I1)	(רבים)	crop2
89	(^}שָׁוא)	(^}שוא)	hand
89	£fixed	fixed	crop2
93	*\x.*	*lx.*	crop2
95	(גַם)	(גם)	hand
99	lx\a.	lxvi.	crop2
100	(iniH)	(הודו)	crop2
102	(h^")2)	(ברא")2)	crop2
102	*Thouwilt	*Thou wilt	hand
103	(i'^rtdvfMiav,	(ἐπιθυμίαν,	crop2
103	*auliendo,	*audiendo,	crop2-dictgate-manual
104	(yiJ^)	(ארץ)	crop2
104	monies	montes	crop2
104	phrase/oiy^	phrase *fowl*	crop2
107	("צָר)	("צר)	hand
107	(2I£^iQ)	(מושב)	crop2
109	vcr.	ver.	crop2
110	(מַטֵּה)	(מטה)	hand
110	*juventus^,*	*juventus,*	crop2-dictgate-manual（lexicon 收了 juventus 之后，adjudicate 会把 juventu 补成 juventus，只剩那个 ^ 要清）
113	(הַבַּיִת)	(הבית)	hand
113	עֲקֶרֶת*עֲקֶרֶת)	עֲקֶרֶת*עקרת)	hand
116	(גָּמַל)	(גמל)	hand
116	thankoflferings.	thank-offerings.	crop2-dictgate-manual
116	verb גָּמַל) to	verb גמל) to	hand
116	אָה	אה	hand
118	(lyta)	(מועד)	crop2
118	(גוֹיִם)	(גוים)	hand
118	as/aras,	as far as,	crop2
118	cx\'i.	cxvi	crop2
118	translated/a?/m^	translated *falling*	crop2
119	(DJ)	(גם)	crop2
119	or rwe in	or me in	crop2-sim
119	pj),	גל),	crop2
119	שׂ	ש	hand
122	(ni^nii^)	(שחברה)	crop2
126	שׁוּב),	שוב),	hand
130	watch/or	watch for	crop2
132	*aficc^avrmv	*ἀμαράντινον	crop2
132	CTifavov*	στέφανον*	crop2
132	hasjhere	has here	crop2
132	neighbournood	neighbourhood	crop2-dictgate-manual
133	(גַּם)	(גם)	hand
133	(יהי),	(יֹרֵד),	hand
135	*sendelh	*sendeth	crop2
136	plm-al	plural	crop2
138	aoul),*	soul),*	hand
139	(i^)	(לו)	crop2
139	(j^^)	(לא)	crop2
139	foetus.	fœtus.	crop2-dictgate-manual
139	literally/ear/i&lt;Z	literally *fearful*;Z	crop2
139	דֶּרֶךְ?)	עולם?)	hand
141	*3My	*My	crop2
141	בְּכָה	בכה	hand
144	(C)!^7NJ)	(C)אלוף)	crop2
144	*ffe	*He	crop2-sim
144	ti-usL	trust.	crop2
145	(נֶאֱמָן	(נאמן	hand
145	(צַדִּיק)	(צדיק)	hand
145	*תְּהִלָּה)*	*תהלה)*	hand
49	Gen. *xx\ii.* 36	Gen. xxvii. 36	hand-crop8: 裁图2026-09-16：印面为罗马体 Gen. xxvii. 36，斜体是 OCR 误加
58	*{θυμός;i*(jc„ furor),	(θυμός, *furor*),	hand-crop8: 裁图2026-09-16：印面 (θυμός, furor)，furor 斜体
66	and high* ^;/-itw« (exaltation)	and high praise* (exaltation)	hand-crop8: 裁图2026-09-16：1864 印面作 pruise（坏字），1850 三卷本作 praise，取 praise
69	usage of \ • V V •• • the one before us *i^yuh'^)-*	usage of the one before us (שלומים).	hand-crop8: 裁图2026-09-16：两遍只差 lamed 的 dagesh，取两遍都认的辅音式；前面那串点是上一行元音点被 OCR 切成独立行
74	(n|^n), twite translated	(חית), twice translated	hand-crop8: 裁图2026-09-16：同上，取辅音式；同一行的 twite 印面作 twice
110	*prateritum phropheticum,*	*præteritum phropheticum,*	hand-crop8: 裁图2026-09-16：印面 præte-ritum 跨行连字；phropheticum 是原书误植，保留
115	they/eel not	they feel not	hand-crop8: 裁图2026-09-16：下一页顶行印面作 they feel not
17	description presentdanger is	description present danger is	hand-rescan: 2026-09-16 复扫残留：影像 present danger 两词，OCR 吞了词距
22	for he carethfor you*	for he careth for you*	hand-rescan: 2026-09-16 复扫残留：同上
30	and inHezekiah's psalm	and in Hezekiah's psalm	hand-rescan: 2026-09-16 复扫残留：同上
53	*uponMahalath*—*Maschil*—*hy David.*	*upon Mahalath*—*Maschil*—*by David.*	hand-rescan: 2026-09-16 复扫残留：影像 upon Mahalath—Maschil—by David
67	is entirelygratuitous,	is entirely gratuitous,	hand-rescan: 2026-09-16 复扫残留：同上
78	&c. TheAsaph meant	&c. The Asaph meant	hand-rescan: 2026-09-16 复扫残留：同上
83	(orpasturegrounds)	(or pasture-grounds)	hand-rescan: 2026-09-16 复扫残留：影像 (or pasture-grounds)，pasture-grounds 跨行连字
90	the effeffect of God's	the effect of God's	hand-rescan: 2026-09-16 复扫残留：影像 the effect of God’s wrath
90	the effect!"ect of sin	the effect of sin	hand-rescan: 2026-09-16 复扫残留：影像 this wrath itself is the effect of sin
91	thou shaltfind shelter	thou shalt find shelter	hand-rescan: 2026-09-16 复扫残留：同上
109	Ps. xl- 18 (17)	Ps. xl. 18 (17)	hand-rescan: 2026-09-16 复扫残留：影像 Ps. xl. 18 (17)
119	renders it here, / *havenot forgotten.*	renders it here, *I have not forgotten.*	hand-rescan: 2026-09-16 复扫残留：影像 The Septuagint renders it here, I have not forgotten.
141	*e-vil matter,*	*evil matter,*	hand-rescan: 2026-09-16 复扫残留：1850 三卷本作 an evil matter；e-vil 是跨行连字没接上
75	himself, whoso very	himself, whose very	hand-rescan: 2026-09-16 真词错；1850 三卷本作 whose very assurance
8	■which	which	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
8	■whose	whose	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
10	•thee	thee	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
13	•me	me	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
17	■view	view	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
22	•verse	verse	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
24	■where	where	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
34	■word	word	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
35	•words	words	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
37	■original	original	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
37	•The	The	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
39	•without	without	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
40	■wilt	wilt	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
56	■will	will	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
64	•vii	vii	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
72	■wish	wish	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
83	•with	with	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
102	•whom	whom	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
139	■was	was	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
139	■wicked	wicked	hand-rescan: 2026-09-16 行首扫描噪点（影像上这一行开头什么都没印，诗 8/10 逐张核过）
2	\will	will	witness1850: 标点级，证人按位置读出
2	declare^	declare,	witness1850: 标点级，证人按位置读出
8	Jehovah^	Jehovah,	witness1850: 标点级，证人按位置读出
10	^of	of	witness1850: 标点级，证人按位置读出
12	are^	are)	witness1850: 标点级，证人按位置读出
12	poor^	poor,	witness1850: 标点级，证人按位置读出
12	the~	the	witness1850: 标点级，证人按位置读出
16	their^	their,	witness1850: 标点级，证人按位置读出
16	yea^	yea,	witness1850: 标点级，证人按位置读出
16	below.^	below.	witness1850: 标点级，证人按位置读出
19	xvii.28.	xvii. 28.	witness1850: 标点级，证人按位置读出
22	^enthroned	enthroned	witness1850: 标点级，证人按位置读出
28	xxii=	xxii.	witness1850: 标点级，证人按位置读出
29	&See	See	witness1850: 标点级，证人按位置读出
30	Ps.iv.	Ps. iv.	witness1850: 标点级，证人按位置读出
31	Zech.xi.	Zech. xi.	witness1850: 标点级，证人按位置读出
32	future^	future	witness1850: 标点级，证人按位置读出
34	^doctrine	doctrine	witness1850: 标点级，证人按位置读出
35	^in	in	witness1850: 标点级，证人按位置读出
35	dark^	dark	witness1850: 标点级，证人按位置读出
35	phrase^	phrase,	witness1850: 标点级，证人按位置读出
35	|but	but	witness1850: 标点级，证人按位置读出
35	secretly^	secretly,	witness1850: 标点级，证人按位置读出
37	instead.of	instead of	witness1850: 标点级，证人按位置读出
37	satisfied^	satisfied,	witness1850: 标点级，证人按位置读出
39	complaint^	complaint,	witness1850: 标点级，证人按位置读出
40	declare^	declare,	witness1850: 标点级，证人按位置读出
40	rites^	rites.	witness1850: 标点级，证人按位置读出
40	Jehovah^	Jehovah	witness1850: 标点级，证人按位置读出
41	thee^	thee,	witness1850: 标点级，证人按位置读出
41	bounty^	bounty,	witness1850: 标点级，证人按位置读出
41	this^	this	witness1850: 标点级，证人按位置读出
41	firm»?	firm	witness1850: 标点级，证人按位置读出
45	xliii.4	xliii. 4	witness1850: 标点级，证人按位置读出
45	iii.1	iii. 1	witness1850: 标点级，证人按位置读出
45	desire^	desire,	witness1850: 标点级，证人按位置读出
46	foam^	foam,	witness1850: 标点级，证人按位置读出
46	^the	the	witness1850: 标点级，证人按位置读出
50	applied.to	applied to	witness1850: 标点级，证人按位置读出
51	in^	in	witness1850: 标点级，证人按位置读出
56	me»	me,	witness1850: 标点级，证人按位置读出
59	God/	God	witness1850: 标点级，证人按位置读出
61	Hear^	Hear,	witness1850: 标点级，证人按位置读出
62	To.pour	To pour	witness1850: 标点级，证人按位置读出
62	%unto	unto	witness1850: 标点级，证人按位置读出
64	sharpened^	sharpened,	witness1850: 标点级，证人按位置读出
64	fear^	fear,	witness1850: 标点级，证人按位置读出
65	^Soften	Soften	witness1850: 标点级，证人按位置读出
66	praise^	praise.	witness1850: 标点级，证人按位置读出
66	^constantly	constantly	witness1850: 标点级，证人按位置读出
67	Psalm^	Psalm,	witness1850: 标点级，证人按位置读出
68	mentioned^	mentioned	witness1850: 标点级，证人按位置读出
69	Rom^	Rom.	witness1850: 标点级，证人按位置读出
69	people..This	people. This	witness1850: 标点级，证人按位置读出
72	^and	and	witness1850: 标点级，证人按位置读出
73	They^	They	witness1850: 标点级，证人按位置读出
74	^^people	people	witness1850: 标点级，证人按位置读出
74	^writers	writers	witness1850: 标点级，证人按位置读出
74	^thine	thine	witness1850: 标点级，证人按位置读出
74	■^writer's	writer's	witness1850: 标点级，证人按位置读出
77	muse^	muse,	witness1850: 标点级，证人按位置读出
78	xlii.1	xlii. 1	witness1850: 标点级，证人按位置读出
78	Utter^	Utter,	witness1850: 标点级，证人按位置读出
78	be_translated	be translated	witness1850: 标点级，证人按位置读出
82	wrong^	wrong,	witness1850: 标点级，证人按位置读出
83	nation^	nation,	witness1850: 标点级，证人按位置读出
84	blessings^	blessings,	witness1850: 标点级，证人按位置读出
86	proud^	proud	witness1850: 标点级，证人按位置读出
89	eternity^	eternity,	witness1850: 标点级，证人按位置读出
90	race>	race,	witness1850: 标点级，证人按位置读出
92	my/	my	witness1850: 标点级，证人按位置读出
93	with^	with,	witness1850: 标点级，证人按位置读出
103	one\	one)	witness1850: 标点级，证人按位置读出
103	xl.7	xl. 7	witness1850: 标点级，证人按位置读出
104	striking^	striking,	witness1850: 标点级，证人按位置读出
104	>writer's	writer's	witness1850: 标点级，证人按位置读出
104	Filled^	Filled,	witness1850: 标点级，证人按位置读出
105	of.the	of the	witness1850: 标点级，证人按位置读出
106	the^pollution	the pollution	witness1850: 标点级，证人按位置读出
109	xli.34.	xli. 34.	witness1850: 标点级，证人按位置读出
109	or.after	or after	witness1850: 标点级，证人按位置读出
110	Thus^	Thus	witness1850: 标点级，证人按位置读出
110	\wrath	wrath	witness1850: 标点级，证人按位置读出
111	righteousness^	righteousness,	witness1850: 标点级，证人按位置读出
113	perpetual^	perpetual	witness1850: 标点级，证人按位置读出
115	but.of	but of	witness1850: 标点级，证人按位置读出
119	judgment^	judgment	witness1850: 标点级，证人按位置读出
121	\up	up	witness1850: 标点级，证人按位置读出
122	standing^	standing,	witness1850: 标点级，证人按位置读出
130	but^easily	but easily	witness1850: 标点级，证人按位置读出
139	dig^	dig	witness1850: 标点级，证人按位置读出
139	expression.is	expression is	witness1850: 标点级，证人按位置读出
139	understand/	understand	witness1850: 标点级，证人按位置读出
144	myriads^	myriads,	witness1850: 标点级，证人按位置读出
10	arm,,	arm,	witness1850: 双标点并一个
18	for,,	for,	witness1850: 双标点并一个
21	him.,	him,	witness1850: 双标点并一个
22	him,.	him.	witness1850: 双标点并一个
22	me,,	me,	witness1850: 双标点并一个
24	him,.	him, 	witness1850: 双标点并一个
37	thee,,	thee,	witness1850: 双标点并一个
40	me,,	me,	witness1850: 双标点并一个
42	march,.	march,	witness1850: 双标点并一个
42	down,,	down,	witness1850: 双标点并一个
45	1,,	1,	witness1850: 双标点并一个
50	desire.,	desire.	witness1850: 双标点并一个
59	above,,	above,	witness1850: 双标点并一个
59	terms,,	terms,	witness1850: 双标点并一个
60	sin.,	sin.	witness1850: 双标点并一个
65	Psalm,.	Psalm.	witness1850: 双标点并一个
65	good.,	good,	witness1850: 双标点并一个
65	terms,,	terms,	witness1850: 双标点并一个
74	Jehovah;,	Jehovah,	witness1850: 双标点并一个
86	thou,.	thou,	witness1850: 双标点并一个
89	ever,,	ever, 	witness1850: 双标点并一个
90	prayer,,	prayer,	witness1850: 双标点并一个
92	This,,	This,	witness1850: 双标点并一个
93	from,,	from,	witness1850: 双标点并一个
94	With,*,	With,*	witness1850: 双标点并一个
98	cases,,	cases,	witness1850: 双标点并一个
107	from,*,	from,*	witness1850: 双标点并一个
108	xviii,,	xviii,	witness1850: 双标点并一个
118	1,,	1,	witness1850: 双标点并一个
119	Behold,,	Behold,	witness1850: 双标点并一个
132	Solomon,;	Solomon, 	witness1850: 双标点并一个
135	Amorites,,	Amorites,	witness1850: 双标点并一个
144	languages,,	languages,	witness1850: 双标点并一个
89	David. For For ever,er,* literally	David.* *For ever,* literally	hand-rescan2: witness1850: 证人作「sure mercies of David. For ever, literally eternity」，我们这里 For 重出、ever 被切成两半（锚随「影像读数自带句点不再与原有句点重出」的修复重定）
41	*Happy {the man] acting	*Happy (the man) acting	hand-rescan2: witness1850: 证人作 Happy (the man) acting wisely；{ ] 是括号被读崩
93	*{. e.*	*i. e.*	hand-rescan2: witness1850: 证人作 begun to reign, i. e. manifested
103	the {one) healing	the (one) healing	hand-rescan2: 同一句前半就是 *the (one) forgiving*，{ 是左括号被读崩
12	our lips {are) with us	our lips (are) with us	hand-rescan2: 证人已定 are)；{ 是左括号被读崩
13	The common;;common version	The common version	image1864: 影像作 The common version，common 跨行重出
56	against me {are^ all	against me (are) all	image1864: 裁图两遍一致 (are)；{ 是左括号被读崩
83	</span><(is)pan> *And* (men)	</span></span> *And* (men)	hand-rescan2: image1864: 上一轮把 /s 的读数 (is) 落到了 `</span>` 里（`</span>` 正好含 `/s`），标签整个坏掉；还原成 </span>
83	whose name* (/s) *Jehovah	whose name* (is) *Jehovah	hand-rescan2: image1864: 裁图两遍一致 (is)；这才是 /s 该改的位置
14	ver..1-3	ver. 1-3	image1864: 裁图两遍一致，标点级
17	^As	As	image1864: 裁图两遍一致，标点级
22	three-	three	image1864: 裁图两遍一致，标点级
34	m.e.	me.	image1864: 裁图两遍一致，标点级
58	ex->	ex-	image1864: 裁图两遍一致，标点级
68	xxii.-30	xxii. 30	image1864: 裁图两遍一致，标点级
69	m.e	me	image1864: 裁图两遍一致，标点级
76	m.ore	more	image1864: 裁图两遍一致，标点级
78	of-	of	image1864: 裁图两遍一致，标点级
81	thyself.-	thyself.	image1864: 裁图两遍一致，标点级
82	Deut.^xxv.	Deut. xxv.	image1864: 裁图两遍一致，标点级
83	w^ord	word	image1864: 裁图两遍一致，标点级
87	w^as	was	image1864: 裁图两遍一致，标点级
89	heavens^	heavens—	image1864: 裁图两遍一致，标点级
92	-for	for	image1864: 裁图两遍一致，标点级
105	xv.-16	xv. 16	image1864: 裁图两遍一致，标点级
106	him-	him	image1864: 裁图两遍一致，标点级
107	w^ord	word	image1864: 裁图两遍一致，标点级
109	praise^	praise,	image1864: 裁图两遍一致，标点级
109	guilty^	guilty;	image1864: 裁图两遍一致，标点级
110	-people.	people.	image1864: 裁图两遍一致，标点级
113	-from	from	image1864: 裁图两遍一致，标点级
116	-for	for	image1864: 裁图两遍一致，标点级
118	-for	for	image1864: 裁图两遍一致，标点级
118	mercy.^	mercy.	image1864: 裁图两遍一致，标点级
118	Ps.xxx.	Ps. xxx.	image1864: 裁图两遍一致，标点级
119	of-	of.	image1864: 裁图两遍一致，标点级
119	sam.e	same	image1864: 裁图两遍一致，标点级
125	fa.te	fate	image1864: 裁图两遍一致，标点级
128	-for	for	image1864: 裁图两遍一致，标点级
142	\art	(art	image1864: 裁图两遍一致，标点级
148	in.antithesis	in antithesis	image1864: 裁图两遍一致，标点级
149	grace-	grace.	image1864: 裁图两遍一致，标点级
4	*E. g.* Exod.xix. 25	*E. g.* Exod. xix. 25	hand-rescan2: image1864: 裁图一遍读 Exod. xix.；g.. 是重出的句点（锚随「影像读数自带句点不再与原有句点重出」的修复重定）
18	The verbs are- in the future	The verbs are in the future	hand-rescan2: image1864: 影像上 are 后面只是个脏点，不是标点
19	(or *do^on to)*	(or *down to)*	hand-rescan2: image1864: 裁图两遍都读 down
27	believe it,-he encourages	believe it, he encourages	hand-rescan2: image1864: 裁图两遍都读 it, he；那一横是噪点
31	faith- keeping*	faith-keeping*	hand-rescan2: image1864: 影像作 faith-keeping，连字号是复合词自带的，跨行断在这里
45	royal dignity- See above	royal dignity. See above	hand-rescan2: witness1850: 证人作 dignity.；影像上那一横是句点被读崩
53	mark Ps. liii.- as the later	mark Ps. liii. as the later	hand-rescan2: witness1850: 证人作 Ps. liii；缩写点后面那一横是噪点
58	means a ba- V V lance (Prov	means a balance (Prov	hand-rescan2: image1864: 影像作 a ba-|lance 跨行；V V 是上一行希伯来元音点的碎屑
85	Glory_has the same sense	Glory has the same sense	hand-rescan2: image1864: 影像作 Glory has，下划线是脏点
115	their worship- *Psalm 115:]-7 All* pers, ver. 3-8	their worshippers, ver. 3-8	hand-rescan2: image1864: 影像上这一页末是 worship-，下一页首是 pers,；中间那截是下一页的页眉「Psalm 115:1-7  477」串进了正文
119	that the con- conservative or	that the conservative or	hand-rescan2: image1864: 影像上这一页末是 con-，下一页首是 servative；抽取时已经拼好了 conservative，con- 是留下的半截
139	my pains and plea- 548 *pleasures 139:14 - 16* sures;	my pains and pleasures;	hand-rescan2: image1864: 影像上这一页末是 plea-，下一页首是 sures；中间那截是页眉「548  Psalm 139:14 – 16」串进了正文（Psakn 又被判读改成了 pleasures）
119	pan> *Thine am I*—*save me*—*-for	pan> *Thine am I*—*save me*—*for	image1864: 裁图两遍一致 for；破折号已经印在斜体外面，那一横是多出来的
136	nks unto the Lord of lords*—*-for	nks unto the Lord of lords*—*for	image1864: 裁图两遍一致 for；破折号已经印在斜体外面，那一横是多出来的
136	ael from the midst of them*—*-for	ael from the midst of them*—*for	image1864: 裁图两遍一致 for；破折号已经印在斜体外面，那一横是多出来的
136	ted the Bed Sea into parts*—*-for	ted the Bed Sea into parts*—*for	image1864: 裁图两遍一致 for；破折号已经印在斜体外面，那一横是多出来的
136	ss through the midst of it*—*-for	ss through the midst of it*—*for	image1864: 裁图两遍一致 for；破折号已经印在斜体外面，那一横是多出来的
136	him that smote great kings*—*-for	him that smote great kings*—*for	image1864: 裁图两遍一致 for；破折号已经印在斜体外面，那一横是多出来的
62	first word זו)	first word (אַךְ)	hand-rescan2: image1864 影像作 (אַךְ)；抽取时这两个希伯来词与下文那个对调了
62	pronoun (אַךְ) in ver. 12	pronoun (זו) in ver. 12	hand-rescan2: image1864 影像作 (זו)；见上一条
25	by implication,..to abide	by implication, to abide	hand-rescan2: witness1850: 证人作 implication，那两个点是噪点
74	prophecy had., been withdrawn	prophecy had been withdrawn	hand-rescan2: witness1850: 证人作 had，两个标点都是多出来的
78	the preceding verse,; s used	the preceding verse, is used	hand-rescan2: 那个分号是 is 的 i 被读崩：证人作 verse, is used
108	I will divide Shechem., and the valley	I will divide Shechem, and the valley	hand-rescan2: 句中并列，句点是噪点
42	a Le%dtical family of singers	a Levitical family of singers	hand-rescan2: 1 Chron. vi 的利未支派歌唱者；%d 是 vi 被读崩
24	lxxx.5 (4), lxxxiv. 9 (8)	lxxx. 5 (4), lxxxiv. 9 (8)	hand-rescan2: 同一句里 lix. 6 (5)、lxxxiv. 9 (8) 都带词距，只这一处粘住
38	*my enemies of falsehood, חיים* 0^^&lt; may mean	*my enemies of falsehood,* איבי חיים may mean	hand-rescan2: image1864 影像作「means *my enemies of falsehood,* איבי חיים may mean *my enemies of life,*」；חיים 被卷进了斜体，איבי 整个读崩成 0^^&lt;
45	thy majesty.* Arm*m thyself	thy majesty.* Arm thyself	hand-italic: image1864: 影像作「*…thy honour and thy majesty.* Arm thyself for battle」，*m 是多出来的
113	require עֲקֶרֶת*עקרת) *barren*	require (עֲקֶרֶת) *barren*	hand-italic: image1864: 影像作 which require (עֲקֶרֶת) *barren*；后半截是同一个词的乱码残留
15	The verb רגל*1 seems	The verb רגל seems	hand-italic: image1864: 影像作 The verb רגל seems，不带括号；*1 是残留
18	similar term \*חָסִיד*חסיד, for	similar term חָסִיד, for	hand-italic: image1864: 影像作 the similar term חָסִיד, for；后半截是同一个词的乱码残留
22	participle (כארים*כארים for כרים)	participle (כָּאֲרִים for כָּרִים)	hand-italic: image1864: 影像作 (כָּאֲרִים for כָּרִים)
22	phrase ((דור אחרון)* in) occurs below	phrase (דור אחרון) occurs below	hand-italic: image1864: 影像作 The complete phrase (דור אחרון) occurs below
66	the Hebrew word (רוֹמָם*)) is probably	the Hebrew word (רוֹמָם) is probably	hand-italic: image1864: 影像作 the Hebrew word (רוֹמָם) is probably a noun
