篇	我们	证人	说明
69	u>^	bll	字母对不上，不采信
69	D^li^	5)9	字母对不上，不采信
69	Rom^	Rom.	4 个锚一致
69	people..This	people. This	2 个锚一致
72	^and	and	7 个锚一致
73	They^	They	4 个锚一致
74	^^people	people	5 个锚一致
74	^writers	writers	6 个锚一致
74	^thine	thine	6 个锚一致
74	■^writer's	writer's	6 个锚一致
75	Idumæa		几个锚读数不一致：['Idumaea and', 'to Idumaea']
76	m.ore		几个锚读数不一致：['glorious, more', 'more than']
77	muse^	muse,	7 个锚一致
78	xlii.1	xlii. 1	2 个锚一致
78	Utter^	Utter,	8 个锚一致
78	of-	of	留给影像：带连字符/破折号，可能是 1864 的引号
78	be_translated	be translated	3 个锚一致
81	thyself.-	thyself.	留给影像：带连字符/破折号，可能是 1864 的引号
82	wrong^	wrong,	5 个锚一致
82	Deut.^xxv.		证人语料里找不到这段话
83	mizmôr		几个锚读数不一致：['description (mizmbr),', 'mizmbr), there']
83	shîr		几个锚读数不一致：['one (shir,)', 'shir,) which']
83	w^ord		几个锚读数不一致：['to word', 'word or']
83	nation^	nation,	3 个锚一致
83	/s	is	字母对不上，不采信
84	blessings^	blessings,	4 个锚一致
85	Glory_has		证人语料里找不到这段话
86	proud^	proud	5 个锚一致
87	w^as	Jerusalem was	字母对不上，不采信
89	eternity^	eternity,	3 个锚一致
89	heavens^	neavens	字母对不上，不采信
89	saidst	saidst	证人印的就是这样
90	race>	race,	3 个锚一致
92	-for	for	留给影像：带连字符/破折号，可能是 1864 的引号
92	my/	my	3 个锚一致
93	with^	with,	6 个锚一致
102	præterita		几个锚读数不一致：["not 'praeterita", "praeterita 'projphetica.,"]
103	one\	one)	5 个锚一致
103	xl.7	xl. 7	4 个锚一致
104	striking^	striking,	8 个锚一致
104	>writer's	writer's	5 个锚一致
104	Filled^	Filled,	3 个锚一致
105	of.the	of the	3 个锚一致
105	xv.-16	xv. 16	留给影像：带连字符/破折号，可能是 1864 的引号
106	him-		几个锚读数不一致：['19.', 'him']
106	the^pollution	the pollution	3 个锚一致
107	w^ord		几个锚读数不一致：['The word', 'word translated']
109	praise^	prais	字母对不上，不采信
109	xli.34.	xli. 34.	5 个锚一致
109	guilty^		几个锚读数不一致：['above.', 'guilty']
109	or.after	or after	3 个锚一致
110	Thus^	Thus	5 个锚一致
110	-people.	people.	留给影像：带连字符/破折号，可能是 1864 的引号
110	\wrath	wrath	6 个锚一致
110	præteritum	of praderitum	字母对不上，不采信
111	righteousness^	righteousness,	5 个锚一致
112	righteous^	his	字母对不上，不采信
113	perpetual^	perpetual	2 个锚一致
113	-from	from	留给影像：带连字符/破折号，可能是 1864 的引号
115	worship-	worshippers,	字母对不上，不采信
115	but.of	but of	4 个锚一致
116	-for	for	留给影像：带连字符/破折号，可能是 1864 的引号
118	-for	in	字母对不上，不采信
118	mercy.^	mercy.''	留给影像：读数里多出引号
118	Ps.xxx.		几个锚读数不一致：['Job xxxv.', 'Ps. xxx.', 'pare Ps.']
119	con-		几个锚读数不一致：['conservative', 'the']
119	of-		几个锚读数不一致：['of', 'the']
119	judgment^	judgment	5 个锚一致
119	-for		几个锚读数不一致：['for', 'me']
119	-for	for	留给影像：带连字符/破折号，可能是 1864 的引号
119	sam.e	the same	字母对不上，不采信
121	\up	up	5 个锚一致
122	standing^	standing,	6 个锚一致
125	fa.te		几个锚读数不一致：['fate of', 'the fate']
128	-for	for	留给影像：带连字符/破折号，可能是 1864 的引号
130	but^easily	but easily	3 个锚一致
136	-for	for	留给影像：带连字符/破折号，可能是 1864 的引号
136	-for	for	留给影像：带连字符/破折号，可能是 1864 的引号
136	-for	for	留给影像：带连字符/破折号，可能是 1864 的引号
136	-for	for	留给影像：带连字符/破折号，可能是 1864 的引号
136	-for	for	留给影像：带连字符/破折号，可能是 1864 的引号
139	dig^	dig	2 个锚一致
139	plea-	pleasures	字母对不上，不采信
139	fœtus.		几个锚读数不一致：['foetus. The', 'or foetus.']
139	expression.is	expression is	8 个锚一致
139	understand/	understand	5 个锚一致
142	\art		几个锚读数不一致：['art)', 'xviii.']
144	myriads^	myriads,	2 个锚一致
148	in.antithesis		几个锚读数不一致：['hosts in', 'in antithesis']
149	grace-	grace.	留给影像：带连字符/破折号，可能是 1864 的引号
